Date,Open,High,Low,Close,Volume,Market Cap,Positive Tweets,Negative Tweets
41637,728.05,748.61,714.4400000000001,745.05,19011300,8872600000,38,11
41638,741.35,766.6,740.24,756.13,20707700,9037000000,36,16
41639,760.3200000000001,760.58,738.17,754.01,20897300,9268240000,26,16
41640,754.97,775.35,754.97,771.4,22489400,9203030000,32,13
41641,773.4400000000001,820.3099999999999,767.21,802.39,38489500,9428180000,21,12
41642,802.85,834.15,789.12,818.72,37810100,9786680000,28,13
41643,823.27,859.51,801.67,859.51,38005000,10035600000,24,11
41644,858.55,952.4,854.52,933.53,72898500,10465700000,31,15
41645,936.05,1017.12,905.71,953.29,85565700,11410400000,43,7
41646,946.49,965.74,802,802,81311700,11571400000,40,9
41647,795.99,870.6799999999999,776.1799999999999,842.72,74175600,9734800000,28,19
41648,841.47,864.36,804.14,846.86,59998600,10295100000,33,16
41649,846.6900000000001,871.1900000000001,822.6,868.48,31876800,10363300000,36,6
41650,867.3200000000001,921.48,861.72,913.95,44754200,10619900000,36,19
41651,919.6,928.52,851.17,863.22,39623500,11264800000,37,13
41652,860.1900000000001,861.29,806.05,841.2,45580900,10541500000,36,14
41653,843.17,855.6900000000001,825.66,833.27,20829800,10336500000,35,13
41654,833.12,872.8099999999999,830.86,860.9,28107200,10216700000,45,14
41655,860.29,866.16,835.63,835.63,19149300,10553800000,36,18
41656,834.49,842.91,797.63,814.64,39031700,10241200000,35,8
41657,816.0700000000001,841.49,816.0700000000001,840,18052700,10018200000,35,14
41658,839.66,870.96,825.53,870.96,24365700,10311500000,41,6
41659,871.39,886.39,853.87,870.2,27652700,10704800000,33,8
41660,869.65,881.2,855.9299999999999,863.91,18997300,10687700000,39,9
41661,867.21,870.15,837.36,845.59,18453700,10661400000,35,11
41662,845.46,851.5700000000001,819.3200000000001,822.04,15607100,10398000000,37,18
41663,822.4299999999999,822.4299999999999,783.58,797.0700000000001,34912000,10118400000,30,17
41664,796.24,861.45,792.96,853.61,24303900,9799920000,31,14
41665,853.6799999999999,897.02,844.86,885.28,32224300,10510400000,27,6
41666,884.6,893,757.11,771.39,49233600,10894400000,28,25
41667,774.02,832.5,766.98,812.51,44875500,9535950000,29,25
41668,809.96,836.87,809.85,826,17984400,9981850000,21,12
41669,826.02,830.5,799.0599999999999,819.03,29918200,10182900000,30,8
41670,818.4299999999999,831.87,812.6,829.92,17107900,10092900000,27,14
41671,828.61,853.52,827.11,832.58,19668700,10222300000,25,12
41672,832.9,844.72,820.67,825.37,11300900,10279200000,25,17
41673,824.08,826.48,807.22,823.83,13940100,10174100000,34,5
41674,823.77,840.17,820.9400000000001,827.96,16609700,10174000000,34,13
41675,829.96,837.3200000000001,811.91,811.91,22395100,10254100000,32,16
41676,815.59,819.8099999999999,770.59,781.55,50108700,10079900000,29,21
41677,783.2,783.2,654.35,712.4,113643000,9683190000,31,12
41678,699.5700000000001,721.8200000000001,661.87,673.92,38742600,8651930000,34,16
41679,671.46,712.27,655.25,682.9,39311400,8307340000,33,14
41680,681.3200000000001,703.71,550.5,681.03,112758000,8431680000,26,14
41681,683.5,712.46,636.66,672.17,72745200,8461320000,26,16
41682,672.38,672.9,643.04,651.72,25367600,8326420000,28,21
41683,651.08,657.99,601.91,605.24,38588100,8065550000,24,19
41684,601.17,691.72,541.04,661.99,102506000,7449940000,31,16
41685,660.9,661.84,632.84,650.92,26709200,8193290000,35,6
41686,651.3,665.1,584.17,616.63,40061700,8077340000,22,18
41687,614.23,656.95,607.3099999999999,626.27,31948400,7620580000,29,14
41688,627.16,645.76,612.54,626.6,20015100,7783430000,25,10
41689,625.97,631.77,618.7,623.03,13897800,7771210000,29,15
41690,623.09,627.73,556.14,556.14,46905000,7738580000,23,13
41691,556.88,582.96,530.47,574.16,47308100,6918730000,19,8
41692,574.24,614.48,558.58,605.42,31254000,7136600000,24,16
41693,606.47,639.91,599.7,605.8200000000001,31434400,7539890000,19,14
41694,606.04,607.61,538.7,546.3200000000001,57893900,7537080000,20,22
41695,540.24,541.38,420.41,538.71,126314000,6721330000,29,26
41696,537.04,603.8,532.58,582.6900000000001,64642700,6683680000,26,28
41697,581.65,594.05,566.62,578.77,25540800,7241560000,29,12
41698,579.7,584.14,545.17,549.26,28076100,7219990000,29,19
41699,549.92,573.38,539.29,565.61,18668100,6851590000,31,16
41700,567.23,570.48,553.27,559.79,7950760,7069290000,27,13
41701,562.5599999999999,702.91,560.52,667.76,96056900,7013060000,21,22
41702,668.24,696.22,655.6799999999999,666.78,55344600,8332950000,30,17
41703,666.24,674.28,646.28,665.51,22461900,8310510000,27,27
41704,664.52,669.77,649.79,663.86,16068100,8291650000,25,17
41705,664.3099999999999,665.34,616.35,629.15,34150800,8291900000,27,16
41706,629.66,635.14,604.46,617.45,18654200,7862010000,35,12
41707,616.3099999999999,643.95,612.35,636.96,15396500,7697910000,26,16
41708,636.33,644.76,615.02,627.79,20639800,7950820000,24,16
41709,627.95,638.42,618.84,634.11,11732500,7848450000,23,10
41710,631.91,648.03,629.51,632.1,18621200,7900600000,26,15
41711,633.62,644.2,630.85,638.14,11634900,7924860000,32,14
41712,638.14,639.53,627.21,628.8,11913800,7983980000,31,8
41713,629.37,639.14,627.3,636.12,4342080,7876360000,37,13
41714,636.5,637.52,628.11,631.11,5277290,7968200000,24,8
41715,630.92,632.6799999999999,616.86,622.37,14648200,7901040000,28,18
41716,621.84,622.39,603.8,614.83,24011500,7789810000,29,15
41717,613.9,622,609.1,609.89,14228900,7692450000,31,9
41718,609.75,609.75,587.49,588.77,20572900,7642910000,34,13
41719,588.29,604.59,561.8099999999999,571.49,38414100,7376710000,37,6
41720,571.1799999999999,572.55,554.39,565.04,17360700,7164770000,24,12
41721,565.76,570.24,560.88,561.27,9288400,7099230000,29,13
41722,562.51,586.5599999999999,551.77,583.41,22706900,7061380000,28,18
41723,585.03,585.4400000000001,572.61,583.92,14020100,7346810000,29,11
41724,583.48,590.03,570.96,580.83,16401100,7329720000,25,15
41725,580.26,580.5599999999999,471.24,471.24,62225400,7291520000,35,18
41726,477.14,526.02,473.23,495.67,58828300,5997850000,33,12
41727,501.71,504.86,489.73,491.17,11147100,6308890000,26,12
41728,492.37,492.37,444.18,460.27,42958300,6193560000,33,10
41729,462.3,483.02,443.37,457,28254000,5816910000,29,12
41730,457,495.34,457,478.38,35685800,5752280000,27,11
41731,479.14,495.05,431.27,437.14,49647600,6032970000,24,15
41732,436.44,449.56,414.89,444.72,40765500,5497550000,38,12
41733,445.66,454.65,429.09,447.53,22925500,5615980000,27,18
41734,446.68,463.57,444.2,461.91,13404500,5630890000,33,9
41735,463.4,466.32,452.97,460.5,10241400,5843670000,40,14
41736,461.47,462.56,445.12,449.42,15616600,5821160000,25,14
41737,447.61,457.42,446.11,453.09,10921600,5648000000,27,9
41738,453.18,455.73,441.93,442.73,13204400,5719730000,26,10
41739,442.26,443.37,358.73,365.18,55868300,5583670000,32,11
41740,363.71,429.77,351.27,420.95,62562800,4593400000,35,10
41741,420.89,439.61,415.79,421.12,19226500,5317310000,30,17
41742,421.46,427.4,395.25,414.06,22493500,5326230000,37,15
41743,414.83,469.75,407.37,458.79,50730200,5244350000,36,13
41744,458.37,519,453.54,515.59,49561000,5797070000,31,12
41745,522.1799999999999,542.38,502.78,527.39,56480100,6606460000,27,13
41746,529.0700000000001,533.52,484.87,495.96,34025500,6695650000,39,12
41747,495.8,498.6,472.74,479.64,19042400,6276700000,38,14
41748,479.58,503.56,470.56,501.56,19588200,6073340000,34,14
41749,501.75,510.87,490.84,498.17,12103100,6356070000,39,15
41750,497.74,510.57,493.2,495.77,15171400,6307460000,25,11
